geoname_id,continent_code,continent_name,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,time_zone
935317,AF,Africa,RE,Réunion,,,,,Indian/Reunion
921815,AF,Africa,YT,Mayotte,,Mamoudzou,Mamoutzou,,Indian/Mayotte
935582,AF,Africa,RE,Réunion,,,Le Tampon,,Indian/Reunion
935227,AF,Africa,RE,Réunion,,,Saint-Joseph,,Indian/Reunion
935685,AF,Africa,RE,Réunion,,,La Riviere,,Indian/Reunion
935691,AF,Africa,RE,Réunion,,,La Possession,,Indian/Reunion
935268,AF,Africa,RE,Réunion,,,Saint-Andre,,Indian/Reunion
2215636,AF,Africa,LY,Libya,,,,,Africa/Tripoli
2210247,AF,Africa,LY,Libya,TB,Tripoli District,Tripoli,,Africa/Tripoli
192950,AF,Africa,KE,Kenya,,,,,Africa/Nairobi
241170,AF,Africa,SC,Seychelles,,,,,Indian/Mahe
993800,AF,Africa,ZA,South Africa,GP,Gauteng,Johannesburg,,Africa/Johannesburg
2328926,AF,Africa,NG,Nigeria,,,,,Africa/Lagos
953987,AF,Africa,ZA,South Africa,,,,,Africa/Johannesburg
1002108,AF,Africa,ZA,South Africa,GP,Gauteng,Germiston,,Africa/Johannesburg
936374,AF,Africa,ZA,South Africa,GP,Gauteng,Roodepoort,,Africa/Johannesburg
1001496,AF,Africa,ZA,South Africa,GP,Gauteng,Glenvista,,Africa/Johannesburg
946877,AF,Africa,ZA,South Africa,EC,Province of Eastern Cape,Uitenhage,,Africa/Johannesburg
991415,AF,Africa,ZA,South Africa,GP,Gauteng,Kempton Park,,Africa/Johannesburg
1007311,AF,Africa,ZA,South Africa,ZN,KwaZulu-Natal,Durban,,Africa/Johannesburg
1010717,AF,Africa,ZA,South Africa,EC,Province of Eastern Cape,Despatch,,Africa/Johannesburg
1105776,AF,Africa,ZA,South Africa,GP,Gauteng,Midrand,,Africa/Johannesburg
964137,AF,Africa,ZA,South Africa,GP,Gauteng,Pretoria,,Africa/Johannesburg
1105777,AF,Africa,ZA,South Africa,GP,Gauteng,Centurion,,Africa/Johannesburg
964420,AF,Africa,ZA,South Africa,EC,Province of Eastern Cape,Port Elizabeth,,Africa/Johannesburg
957655,AF,Africa,ZA,South Africa,GP,Gauteng,Sandton,,Africa/Johannesburg
978652,AF,Africa,ZA,South Africa,GP,Gauteng,Marshalltown,,Africa/Johannesburg
1017780,AF,Africa,ZA,South Africa,GP,Gauteng,Boksburg,,Africa/Johannesburg
966190,AF,Africa,ZA,South Africa,GP,Gauteng,Parktown,,Africa/Johannesburg
3369157,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Cape Town,,Africa/Johannesburg
3361025,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Stellenbosch,,Africa/Johannesburg
1015504,AF,Africa,ZA,South Africa,GP,Gauteng,Bronkhorstspruit,,Africa/Johannesburg
3360934,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Strand,,Africa/Johannesburg
3363094,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Paarl,,Africa/Johannesburg
3360549,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Thornton,,Africa/Johannesburg
3370141,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Bellville,,Africa/Johannesburg
6951112,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Somerset West,,Africa/Johannesburg
939340,AF,Africa,ZA,South Africa,ZN,KwaZulu-Natal,Winterton,,Africa/Johannesburg
3367445,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Green Point,,Africa/Johannesburg
997431,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Hartenbos,,Africa/Johannesburg
3360873,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Sun Valley,,Africa/Johannesburg
3365083,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Kraaifontein,,Africa/Johannesburg
956754,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Sedgefield,,Africa/Johannesburg
982299,AF,Africa,ZA,South Africa,MP,Mpumalanga,London,,Africa/Johannesburg
965301,AF,Africa,ZA,South Africa,ZN,KwaZulu-Natal,Pietermaritzburg,,Africa/Johannesburg
978895,AF,Africa,ZA,South Africa,ZN,KwaZulu-Natal,Margate,,Africa/Johannesburg
1023441,AF,Africa,ZA,South Africa,GP,Gauteng,Alberton,,Africa/Johannesburg
1020098,AF,Africa,ZA,South Africa,GP,Gauteng,Benoni,,Africa/Johannesburg
940316,AF,Africa,ZA,South Africa,GP,Gauteng,Westonaria,,Africa/Johannesburg
1013886,AF,Africa,ZA,South Africa,ZN,KwaZulu-Natal,Cato Ridge,,Africa/Johannesburg
964574,AF,Africa,ZA,South Africa,ZN,KwaZulu-Natal,Pongola,,Africa/Johannesburg
964406,AF,Africa,ZA,South Africa,ZN,KwaZulu-Natal,Port Shepstone,,Africa/Johannesburg
958724,AF,Africa,ZA,South Africa,NW,Province of North West,Rustenburg,,Africa/Johannesburg
1105727,AF,Africa,ZA,South Africa,GP,Gauteng,Kwamhlanga,,Africa/Johannesburg
997678,AF,Africa,ZA,South Africa,NW,Province of North West,Hartbeespoort,,Africa/Johannesburg
976361,AF,Africa,ZA,South Africa,MP,Mpumalanga,Middelburg,,Africa/Johannesburg
1019760,AF,Africa,ZA,South Africa,MP,Mpumalanga,Bethal,,Africa/Johannesburg
969688,AF,Africa,ZA,South Africa,GP,Gauteng,Northcliff,,Africa/Johannesburg
990930,AF,Africa,ZA,South Africa,NC,Northern Cape,Kimberley,,Africa/Johannesburg
982719,AF,Africa,ZA,South Africa,GP,Gauteng,Linden,,Africa/Johannesburg
1006834,AF,Africa,ZA,South Africa,GP,Gauteng,Edenvale,,Africa/Johannesburg
981084,AF,Africa,ZA,South Africa,GP,Gauteng,Lyttelton,,Africa/Johannesburg
961065,AF,Africa,ZA,South Africa,GP,Gauteng,Rivonia,,Africa/Johannesburg
972674,AF,Africa,ZA,South Africa,GP,Gauteng,Muldersdrift,,Africa/Johannesburg
952869,AF,Africa,ZA,South Africa,GP,Gauteng,Springs,,Africa/Johannesburg
986822,AF,Africa,ZA,South Africa,GP,Gauteng,Krugersdorp,,Africa/Johannesburg
1023098,AF,Africa,ZA,South Africa,GP,Gauteng,Alrode,,Africa/Johannesburg
997151,AF,Africa,ZA,South Africa,GP,Gauteng,Heidelberg,,Africa/Johannesburg
963230,AF,Africa,ZA,South Africa,GP,Gauteng,Randfontein,,Africa/Johannesburg
964136,AF,Africa,ZA,South Africa,EC,Province of Eastern Cape,Pretoria,,Africa/Johannesburg
944385,AF,Africa,ZA,South Africa,GP,Gauteng,Vereeniging,,Africa/Johannesburg
7870429,AF,Africa,ZA,South Africa,GP,Gauteng,Florida Glen,,Africa/Johannesburg
963241,AF,Africa,ZA,South Africa,GP,Gauteng,Randburg,,Africa/Johannesburg
968296,AF,Africa,ZA,South Africa,GP,Gauteng,Olifantsfontein,,Africa/Johannesburg
1003820,AF,Africa,ZA,South Africa,GP,Gauteng,Fourways,,Africa/Johannesburg
3367877,AF,Africa,ZA,South Africa,WC,Province of the Western Cape,Franschhoek,,Africa/Johannesburg
1018725,AF,Africa,ZA,South Africa,FS,Orange Free State,Bloemfontein,,Africa/Johannesburg
982332,AF,Africa,ZA,South Africa,GP,Gauteng,Lombardy East,,Africa/Johannesburg
1016513,AF,Africa,ZA,South Africa,EC,Province of Eastern Cape,Braamfontein,,Africa/Johannesburg
957487,AF,Africa,ZA,South Africa,FS,Orange Free State,Sasolburg,,Africa/Johannesburg
1020066,AF,Africa,ZA,South Africa,ZN,KwaZulu-Natal,Berea,,Africa/Johannesburg
1015621,AF,Africa,ZA,South Africa,NW,Province of North West,Brits,,Africa/Johannesburg
944986,AF,Africa,ZA,South Africa,GP,Gauteng,Vanderbijlpark,,Africa/Johannesburg
8030070,AF,Africa,ZA,South Africa,GP,Gauteng,Morningside Manor,,Africa/Johannesburg
983199,AF,Africa,ZA,South Africa,GP,Gauteng,Lenasia,,Africa/Johannesburg
